Jahr;Anzahl erfasste Faelle;Aufklaerungsquote
1987;4444108;44,2
1988;4356726;45,9
1989;4358573;47,2
1990;4455333;47
1991;4752175;45,4
1992;5209060;44,8
1993;6750613;43,8
1994;6537748;44,4
1995;6668717;46
1996;6647598;49
1997;6586165;50,6
1998;6456996;52,3
1999;6302316;52,8
2000;6264723;53,2
2001;6363865;53,1
2002;6507394;52,6
2003;6572135;53,1
2004;6633156;54,2
2005;6391715;55
2006;6304223;55,4
2007;6284661;55
2008;6114128;54,8
2009;6054330;55,6
2010;5933278;56
2011;5990679;54,7
2012;5997040;54,4
2013;5961662;54,5
2014;6082064;54,9
2015;6330649;56,3
2016;6372526;56,2
2017;5761984;57,1
2018;5555520;57,7
2019;5436401;57,5
2020;5310621;58,4
